Permit_Number,Status,Street_Number,Pre_direction,Street_Name,Street_Suffix,Post_Direction,City,State,Zip_code,Work_Type,Use_Code,Added_Date,Issue_Date,Final_Date,Description,Application_Type,Location
1032741,Completed,13301,,QUERY MILL,RD,,GAITHERSBURG,MD,20878,DEMOLISH,SHED,5/30/2023,7/19/2023,9/11/2023,,DEMOLITION OR MOVE PERMIT,"13301 QUERY MILL RD
GAITHERSBURG, MD 20878
(39.073493821, -77.280279298)"
1032318,Completed,6417,,WINNEPEG,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,5/24/2023,8/4/2023,3/1/2024,,DEMOLITION OR MOVE PERMIT,"6417 WINNEPEG RD
BETHESDA, MD 20817
(39.02245101, -77.130509977)"
1028022,Completed,7604,,ELMORE,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,4/15/2023,6/2/2023,7/10/2023,,DEMOLITION OR MOVE PERMIT,"7604 ELMORE LN
BETHESDA, MD 20817
(38.986068982, -77.133092022)"
1033134,Completed,5808,,MIDHILL,ST,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,6/1/2023,9/11/2023,2/23/2024,,DEMOLITION OR MOVE PERMIT,"5808 MIDHILL ST
BETHESDA, MD 20817
(38.98141799, -77.117219966)"
1026761,Completed,10107,,ASHBURTON,LN,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,4/4/2023,6/1/2023,4/10/2024,,DEMOLITION OR MOVE PERMIT,"10107 ASHBURTON LN
BETHESDA, MD 20817
(39.021014017, -77.124791004)"
1032302,Completed,6415,,WINNEPEG,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,5/24/2023,7/21/2023,2/9/2024,,DEMOLITION OR MOVE PERMIT,"6415 WINNEPEG RD
BETHESDA, MD 20817
(39.022439988, -77.130306967)"
1033131,Finaled,10028,,CLUE,DR,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,6/1/2023,7/21/2023,7/1/2024,,DEMOLITION OR MOVE PERMIT,"10028 CLUE DR
BETHESDA, MD 20817
(39.02235399, -77.126823029)"
1003827,Finaled,6006,,TILDEN,LN,,ROCKVILLE,MD,20852,DEMOLISH,SINGLE FAMILY DWELLING,8/16/2022,2/2/2023,6/2/2023,,DEMOLITION OR MOVE PERMIT,"6006 TILDEN LN
ROCKVILLE, MD 20852
(39.044390013000054, -77.12187703599994)"
1011594,Completed,5812,,PLAINVIEW,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,10/28/2022,12/23/2022,2/6/2023,Customer wants to use ePlans.,DEMOLITION OR MOVE PERMIT,"5812 PLAINVIEW RD
BETHESDA, MD 20817
(38.98339000000004, -77.11858495899997)"
989307,Completed,10117,,THORNWOOD,RD,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,4/7/2022,4/25/2023,5/19/2023,,DEMOLITION OR MOVE PERMIT,"10117 THORNWOOD RD
KENSINGTON, MD 20895
(39.02188, -77.08711)"
1033425,Open,410,,NORWOOD,RD,,SILVER SPRING,MD,20905,DEMOLISH,MISCELLANEOUS STRUCTURE,6/5/2023,,,,DEMOLITION OR MOVE PERMIT,"410 NORWOOD RD
SILVER SPRING, MD 20905
(39.114588997000055, -77.01945001099995)"
1024818,Finaled,4408,,FAIRFIELD,DR,,BETHESDA,MD,20814,DEMOLISH,OWNERSHIP UNIT,3/15/2023,4/28/2023,6/7/2023,,DEMOLITION OR MOVE PERMIT,"4408 FAIRFIELD DR
BETHESDA, MD 20814
(38.995869983000034, -77.08879500499995)"
1010985,Completed,10801,,CRIPPLEGATE,RD,,POTOMAC,MD,20854,DEMOLISH,SINGLE FAMILY DWELLING,10/24/2022,3/2/2023,6/7/2023,,DEMOLITION OR MOVE PERMIT,"10801 CRIPPLEGATE RD
POTOMAC, MD 20854
(39.00672199200005, -77.23132499399998)"
1026534,Completed,8513,,LYNBROOK,DR,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,3/31/2023,6/5/2023,6/15/2023,,DEMOLITION OR MOVE PERMIT,"8513 LYNBROOK DR
BETHESDA, MD 20814
(38.995572007, -77.08868998)"
1004781,Completed,11307,,MOUNTAIN VIEW,RD,,DAMASCUS,MD,20872,DEMOLISH,SINGLE FAMILY DWELLING,8/24/2022,6/5/2023,8/22/2023,,DEMOLITION OR MOVE PERMIT,"11307 MOUNTAIN VIEW RD
DAMASCUS, MD 20872
(39.283598005, -77.234416994)"
1033492,Completed,10907,,ORLEANS,WAY,,KENSINGTON,MD,20895,DEMOLISH,SINGLE FAMILY DWELLING,6/6/2023,8/3/2023,8/24/2023,,DEMOLITION OR MOVE PERMIT,"10907 ORLEANS WAY
KENSINGTON, MD 20895
(39.035372007, -77.102898982)"
1017977,Completed,5602,,WILSON,LN,,BETHESDA,MD,20814,DEMOLISH,SINGLE FAMILY DWELLING,1/9/2023,5/25/2023,7/12/2023,DEMOLITION OR MOVE PERMIT 1017977 link with&nbsp; BUILDING RESIDENTIAL PERMIT 1017975.,DEMOLITION OR MOVE PERMIT,"5602 WILSON LN
BETHESDA, MD 20814
(38.986480995, -77.112491986)"
654617,Finaled,6003,,ANNISTON,RD,,BETHESDA,MD,20817,DEMOLISH,SINGLE FAMILY DWELLING,11/12/2013,1/23/2014,3/27/2024,Rebuild,DEMOLITION OR MOVE PERMIT,"6003 ANNISTON RD
BETHESDA, MD 20817
(39.007674008, -77.122110975)"
